pitch start end duration velocity
D#5 3.0814 3.1860 0.1047 20
G#1 3.0930 3.1047 0.0116 70
A2 3.0930 3.1047 0.0116 70
D3 3.0930 3.1279 0.0349 75
D#6 3.0930 3.3372 0.2442 30
G#2 3.1047 3.1395 0.0349 75
A1 3.1047 3.1512 0.0465 72
C#3 3.1395 3.1512 0.0116 70
A3 3.1395 3.2558 0.1163 59
C#5 3.1395 3.4535 0.3140 40
A#1 3.1512 3.1628 0.0116 72
D3 3.1512 3.1860 0.0349 74
G#1 3.1628 3.1744 0.0116 70
A#1 3.1744 3.1860 0.0116 71
A2 3.1744 3.1860 0.0116 68
G#1 3.1860 3.1977 0.0116 70
G#2 3.1860 3.1977 0.0116 75
A2 3.1977 3.2093 0.0116 74
A1 3.1977 3.2209 0.0233 72
D3 3.1977 3.2442 0.0465 75
G#2 3.2093 3.2209 0.0116 71
A#1 3.2209 3.2326 0.0116 71
G6 3.2209 3.5465 0.3256 33
A1 3.2326 3.2442 0.0116 69
A#5 3.2326 3.2674 0.0349 21
A#1 3.2442 3.2558 0.0116 70
C3 3.2442 3.2558 0.0116 81
E4 3.2442 3.2674 0.0233 40
B5 3.2442 3.4186 0.1744 19
G4 3.2442 3.9884 0.7442 35
F5 3.2442 3.9884 0.7442 17
A2 3.2558 3.2674 0.0116 80
B4 3.2558 3.9884 0.7326 28
C#1 3.2674 3.2791 0.0116 78
A#2 3.2674 3.2791 0.0116 65
A4 3.2674 3.5930 0.3256 32
C#4 3.2674 3.9884 0.7209 49
C2 3.2791 3.3023 0.0233 93
D#5 3.2791 3.3372 0.0581 17
F#6 3.2791 3.3605 0.0814 26
E3 3.2907 3.5000 0.2093 47
B1 3.3023 3.3140 0.0116 87
A#1 3.3140 3.3256 0.0116 77
A1 3.3256 3.3372 0.0116 69
G#6 3.3256 3.5930 0.2674 33
G1 3.3372 3.3488 0.0116 67
G#1 3.3488 3.3605 0.0116 65
D#5 3.3488 3.3953 0.0465 17
F6 3.3605 3.4186 0.0581 25
A1 3.3605 3.5698 0.2093 70
D#6 3.3953 3.5349 0.1395 38
A6 3.3953 3.5698 0.1744 55
D#5 3.4070 3.4767 0.0698 19
